Marital Status,Application Mode,Application Order,Course Name,Daytime/Evening Attendance,Previous Qualification,Nationality,Mother's Qualification,Father's Qualification,Mother's Occupation,Father's Occupation,Displaced Student,Special Educational Needs,Is Debtor,Tuition Fees Up-to-Date,"Gender (1=Male, 0=Female)",Scholarship Holder,Age at Enrollment,International Student,Credited Units (1st Sem),Enrolled Units (1st Sem),Evaluated Units (1st Sem),Approved Units (1st Sem),Average Grade (1st Sem),Not Evaluated Units (1st Sem),Credited Units (2nd Sem),Enrolled Units (2nd Sem),Evaluated Units (2nd Sem),Approved Units (2nd Sem),Average Grade (2nd Sem),Not Evaluated Units (2nd Sem),Unemployment Rate (%),Inflation Rate (%),GDP per Capita (USD),Student Status,FatherQual,PrevQual,MotherQual,Course_Field,MotherOcc_Simple,FatherOcc_Simple,ApplicationMode_Simple,ApplicationOrder_Simple,MaritalStatus_Simple,Nationality_Simple
Single,2nd phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education,Service/Sales/Security,Student,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,15.375,0,0,6,6,6,16.428571428571427,0,16.2,0.3,-0.92,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Social,LowSkill,Unemployed,General,1,Single,Portuguese
Single,Short cycle diploma holders,1,Veterinary Nursing,Daytime,Professional higher technical course,Portuguese,Secondary Education,Secondary Education,Service/Sales/Security,Service/Sales/Security,Yes,No,No,No,Female,No,23,No,7,12,12,9,13.666666666666666,0,4,9,9,6,13.5,0,8.9,1.4,3.51,Enrolled,Secondary/Technical,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,Transfer/Other,1,Single,Portuguese
Single,Over 23 years old,1,Nursing,Daytime,Basic education 3rd cycle,Portuguese,Secondary Education,Doctorate,Administrative Staff,Technicians & Professionals,No,No,No,Yes,Female,No,24,No,0,8,8,7,12.614285714285714,0,0,8,8,7,12.614285714285714,0,12.7,3.7,-1.7,Graduate,Doctorate,Basic,Secondary/Technical,Health,Skilled,Technical,Unknown,1,Single,Portuguese
Single,Technological specialization diploma holders,1,Social Service,Daytime,Technological specialization course,Portuguese,Accounting & Admin course,Basic Edu 2nd Cycle,Farmers/Ag Workers,Unskilled Workers,Yes,No,No,Yes,Female,Yes,19,No,3,6,6,5,12.2,0,2,6,6,6,11.5,0,13.9,-0.3,0.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,Transfer/Other,1,Single,Portuguese
Single,1st phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Technicians & Professionals,Service/Sales/Security,No,No,No,Yes,Female,No,19,No,0,6,6,4,11.75,0,0,6,6,4,11.0,0,10.8,1.4,1.74,Graduate,Basic,Secondary/Technical,Secondary/Technical,Communication,Technical,LowSkill,General,1,Single,Portuguese
Single,1st phase—general contingent,4,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Farmers/Ag Workers,Yes,No,Yes,Yes,Female,Yes,19,No,0,6,6,5,11.4,0,0,6,6,3,10.0,0,8.9,1.4,3.51,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,4,Single,Portuguese
Single,1st phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Education 3rd Cycle,Service/Sales/Security,Armed Forces,No,No,Yes,Yes,Female,No,18,No,0,6,6,5,10.6,0,0,6,6,2,10.0,0,7.6,2.6,0.32,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,ArmedForces,General,1,Single,Portuguese
Single,Change in institution/course,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Secondary Education,Basic Edu 2nd Cycle,Service/Sales/Security,Skilled Industry Workers,No,No,No,Yes,Female,No,22,No,14,16,16,13,10.923076923076923,0,13,13,13,11,11.454545454545457,0,16.2,0.3,-0.92,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,Skilled,Transfer/Other,1,Single,Portuguese
Single,Change in course,1,Communication Design,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Service/Sales/Security,Armed Forces,No,No,No,Yes,Female,No,20,No,0,6,6,5,12.4,0,0,6,6,5,12.4,0,12.7,3.7,-1.7,Graduate,Basic,Secondary/Technical,Secondary/Technical,Communication,LowSkill,ArmedForces,Transfer/Other,1,Single,Portuguese
Single,Over 23 years old,1,Agronomy,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Female,No,25,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Dropout,Basic,Secondary/Technical,Secondary/Technical,Agriculture,LowSkill,LowSkill,Unknown,1,Single,Portuguese
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,Portuguese,Secondary Education,Higher Education Degree,Administrative Staff,Scientific Specialists,No,No,No,Yes,Female,No,21,No,0,6,6,6,15.833333333333334,0,0,6,6,6,15.5,0,15.5,2.8,-4.06,Graduate,HigherEd,Secondary/Technical,Secondary/Technical,Agriculture,Skilled,Professional,Transfer/Other,1,Single,Portuguese
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Care Workers,Unskilled Industry/Transport,Yes,No,No,Yes,Female,No,19,No,0,7,7,5,11.8,0,0,7,7,6,11.708333333333334,0,11.1,0.6,2.02,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,General,1,Single,Portuguese
Single,2nd phase—general contingent,4,Journalism and Communication,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Administrative Staff,Legislative/Executive Officers,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,12.571428571428571,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Communication,Skilled,ArmedForces,General,4,Single,Portuguese
Single,1st phase—general contingent,3,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Student,Student,Yes,No,No,Yes,Female,No,18,No,0,5,5,3,12.0,0,0,5,4,4,13.25,1,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,Unemployed,Unemployed,General,3,Single,Portuguese
Single,2nd phase—general contingent,3,Nursing,Daytime,Secondary education,Portuguese,Higher Education Degree,Higher Education Degree,Unskilled Workers,Skilled Industry Workers,Yes,No,No,Yes,Male,No,19,No,0,7,7,7,13.3625,0,0,8,8,8,14.444444444444445,0,13.9,-0.3,0.79,Graduate,HigherEd,Secondary/Technical,HigherEd,Health,LowSkill,Skilled,General,3,Single,Portuguese
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,Secondary education,Dutch,Higher Education Degree,Higher Education Degree,Farmers/Ag Workers,Farmers/Ag Workers,Yes,No,No,Yes,Female,Yes,19,Yes,0,5,5,5,15.4,0,0,5,5,5,16.0,0,10.8,1.4,1.74,Graduate,HigherEd,Secondary/Technical,HigherEd,Health,LowSkill,LowSkill,General,1,Single,Europe
Single,2nd phase—general contingent,2,Journalism and Communication,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Service/Sales/Security,Service/Sales/Security,Yes,No,Yes,No,Female,No,18,No,0,6,6,5,12.2,0,0,6,6,4,11.75,0,10.8,1.4,1.74,Dropout,Basic,Secondary/Technical,Secondary/Technical,Communication,LowSkill,LowSkill,General,2,Single,Portuguese
Single,Change in institution/course,1,Social Service,Daytime,Technological specialization course,Portuguese,Accounting & Admin course,Basic Edu 2nd Cycle,Service/Sales/Security,Skilled Industry Workers,Yes,No,No,Yes,Female,Yes,20,No,6,11,11,11,12.818181818181818,0,6,11,11,11,13.545454545454543,0,12.4,0.5,1.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,Skilled,Transfer/Other,1,Single,Portuguese
Single,2nd phase—general contingent,5,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Administrative Staff,Machine Operators,Yes,No,No,Yes,Female,No,19,No,0,7,7,0,0.0,0,0,8,8,0,0.0,0,12.4,0.5,1.79,Dropout,Basic,Secondary/Technical,Secondary/Technical,Health,Skilled,LowSkill,General,5,Single,Portuguese
Single,Transfer,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 1st Cycle,Service/Sales/Security,Skilled Industry Workers,Yes,No,No,Yes,Female,No,28,No,12,17,17,17,13.394736842105264,0,11,17,17,17,13.554736842105264,0,16.2,0.3,-0.92,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,Skilled,Transfer/Other,1,Single,Portuguese
Single,1st phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,Administration & Commerce course,Secondary Education,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Female,Yes,20,No,0,6,6,6,14.25,0,0,6,6,6,11.0,0,12.7,3.7,-1.7,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,1,Single,Portuguese
Single,Transfer,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Other Situation,Skilled Industry Workers,Yes,No,No,Yes,Female,No,30,No,9,11,10,9,13.444444444444445,1,5,7,7,7,14.714285714285714,0,7.6,2.6,0.32,Dropout,Basic,Secondary/Technical,Secondary/Technical,Social,Unemployed,Skilled,Transfer/Other,1,Single,Portuguese
Single,1st phase—general contingent,4,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Unskilled Workers,Skilled Industry Workers,Yes,No,No,Yes,Female,Yes,19,No,0,7,7,7,12.285714285714286,0,0,8,8,8,11.7375,0,12.4,0.5,1.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,Skilled,General,4,Single,Portuguese
Single,1st phase—general contingent,2,Communication Design,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Technicians & Professionals,Technicians & Professionals,Yes,No,No,Yes,Female,No,22,No,0,6,6,6,11.666666666666666,0,0,6,6,5,13.2,0,12.7,3.7,-1.7,Graduate,Basic,Secondary/Technical,Secondary/Technical,Communication,Technical,Technical,General,2,Single,Portuguese
Single,1st phase—general contingent,1,Tourism,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 2nd Cycle,Service/Sales/Security,Machine Operators,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,12.166666666666666,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,General,1,Single,Portuguese
Single,2nd phase—general contingent,1,Basic Education,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Female,No,23,No,0,6,6,2,10.0,0,0,6,6,2,11.0,0,7.6,2.6,0.32,Dropout,Basic,Secondary/Technical,Secondary/Technical,Education,LowSkill,LowSkill,General,1,Single,Portuguese
Single,2nd phase—general contingent,4,Communication Design,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Service/Sales/Security,Skilled Industry Workers,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,14.0,0,0,6,6,6,15.0,0,11.1,0.6,2.02,Graduate,Basic,Secondary/Technical,Secondary/Technical,Communication,LowSkill,Skilled,General,4,Single,Portuguese
Single,1st phase—general contingent,1,Basic Education,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Education 3rd Cycle,Skilled Industry Workers,Skilled Industry Workers,Yes,No,No,Yes,Female,No,18,No,0,6,6,5,11.833333333333334,0,0,6,6,4,12.0,0,15.5,2.8,-4.06,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Education,Skilled,Skilled,General,1,Single,Portuguese
Married,Over 23 years old,1,Journalism and Communication,Daytime,Basic education 3rd cycle,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Student,Student,No,No,Yes,No,Male,No,34,No,0,6,6,1,15.0,0,0,5,5,0,0.0,0,10.8,1.4,1.74,Dropout,Basic,Basic,Secondary/Technical,Communication,Unemployed,Unemployed,Unknown,1,Married,Portuguese
Single,1st phase—general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,Brazilian,Higher Education Degree,Higher Education Degree,Scientific Specialists,Service/Sales/Security,Yes,No,No,Yes,Female,Yes,19,Yes,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Graduate,HigherEd,Secondary/Technical,HigherEd,Arts,Professional,LowSkill,General,1,Single,SouthAmerica
Single,2nd phase—general contingent,2,Tourism,Daytime,Secondary education,Brazilian,General commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Female,No,22,Yes,0,6,6,6,10.833333333333334,0,0,6,6,6,10.666666666666666,0,13.9,-0.3,0.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,General,2,Single,SouthAmerica
Single,Technological specialization diploma holders,1,Social Service,Daytime,Technological specialization course,Brazilian,Secondary Education,Secondary Education,Administrative Staff,Farmers/Ag Workers,No,No,Yes,Yes,Female,Yes,23,Yes,3,6,6,6,13.142857142857142,0,2,6,6,6,14.0,0,12.4,0.5,1.79,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Social,Skilled,LowSkill,Transfer/Other,1,Single,SouthAmerica
Single,3rd phase—general contingent,4,Veterinary Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Service/Sales/Security,No,No,Yes,No,Female,Yes,20,No,2,5,4,5,14.4,1,0,5,5,5,14.0,0,12.7,3.7,-1.7,Dropout,Secondary/Technical,Secondary/Technical,Secondary/Technical,Health,Skilled,LowSkill,General,4,Single,Portuguese
Divorced,Over 23 years old,1,Social Service,Daytime,Basic education 3rd cycle,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Armed Forces,No,No,No,No,Female,No,34,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,13.9,-0.3,0.79,Dropout,Basic,Basic,Secondary/Technical,Social,LowSkill,ArmedForces,Unknown,1,Separated/Divorced,Portuguese
Divorced,Over 23 years old,1,Agronomy,Daytime,Basic education 3rd cycle,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Male,No,34,No,6,12,12,7,12.0,0,3,12,12,9,11.22222222222222,0,15.5,2.8,-4.06,Graduate,Basic,Basic,Secondary/Technical,Agriculture,LowSkill,LowSkill,Unknown,1,Separated/Divorced,Portuguese
Married,Change in course,1,Management (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Male,No,34,No,6,10,10,9,12.2,0,4,10,10,10,12.8,0,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,Transfer/Other,1,Married,Portuguese
Single,Over 23 years old,1,Veterinary Nursing,Daytime,Technological specialization course,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Legislative/Executive Officers,Unskilled Workers,Yes,No,No,No,Male,No,34,No,3,3,3,3,12.333333333333334,0,2,2,2,2,11.0,0,12.4,0.5,1.79,Dropout,Basic,Secondary/Technical,Secondary/Technical,Health,ArmedForces,LowSkill,Unknown,1,Single,Portuguese
Single,2nd phase—general contingent,3,Nursing,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Education 3rd Cycle,Unskilled Workers,Machine Operators,Yes,No,No,Yes,Male,No,18,No,0,7,7,7,11.8375,0,0,8,8,8,12.48125,0,13.9,-0.3,0.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,General,3,Single,Portuguese
Widower,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Secondary Education,Unskilled Workers,Scientific Specialists,No,No,No,Yes,Male,No,34,No,0,5,5,5,11.8,0,0,5,5,5,14.0,0,9.4,-0.8,-3.12,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Management,LowSkill,Professional,Unknown,1,Widowed,Portuguese
Divorced,Over 23 years old,2,Management,Daytime,Basic education 3rd cycle,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Skilled Industry Workers,No,No,Yes,No,Male,No,34,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,10.8,1.4,1.74,Dropout,Basic,Basic,Secondary/Technical,Management,LowSkill,Skilled,Unknown,2,Separated/Divorced,Portuguese
Divorced,Over 23 years old,1,Equiniculture,Daytime,Basic education 3rd cycle,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Administrative Staff,No,No,No,Yes,Male,No,34,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,Dropout,Basic,Basic,Secondary/Technical,Agriculture,LowSkill,Skilled,Unknown,1,Separated/Divorced,Portuguese
Married,Change in course,1,Agronomy,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Skilled Industry Workers,No,No,No,Yes,Male,No,34,No,18,19,19,19,12.68421052631579,0,12,13,13,13,12.384615384615383,0,15.5,2.8,-4.06,Graduate,Basic,Secondary/Technical,Secondary/Technical,Agriculture,LowSkill,Skilled,Transfer/Other,1,Married,Portuguese
Single,1st phase—general contingent,1,Tourism,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Unskilled Workers,Technicians & Professionals,No,No,No,Yes,Male,No,21,No,0,6,6,6,12.571428571428571,0,0,6,6,4,13.0,0,12.7,3.7,-1.7,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,Technical,General,1,Single,Portuguese
Single,Over 23 years old,1,Biofuel Production Technologies,Daytime,Secondary education,Brazilian,Accounting & Admin course,Basic Edu 1st Cycle,Unskilled Workers,Machine Operators,No,No,Yes,No,Male,No,34,Yes,0,7,7,3,11.25,0,0,7,7,0,0.0,0,16.2,0.3,-0.92,Dropout,Basic,Secondary/Technical,Secondary/Technical,Energy,LowSkill,LowSkill,Unknown,1,Single,SouthAmerica
Married,Over 23 years old,1,Equiniculture,Daytime,Basic education 3rd cycle,Portuguese,Bachelor’s Degree,Secondary Education,Scientific Specialists,Unskilled Workers,Yes,No,No,Yes,Male,No,34,No,1,5,2,4,14.0,3,1,5,3,4,15.5,2,10.8,1.4,1.74,Graduate,Secondary/Technical,Basic,HigherEd,Agriculture,Professional,LowSkill,Unknown,1,Married,Portuguese
Single,1st phase—general contingent,1,Management,Daytime,Secondary education,Portuguese,Higher Education Degree,Secondary Education,Service/Sales/Security,Service/Sales/Security,Yes,No,Yes,Yes,Male,No,18,No,0,5,5,4,13.333333333333334,0,0,5,5,2,13.5,0,13.9,-0.3,0.79,Dropout,Secondary/Technical,Secondary/Technical,HigherEd,Management,LowSkill,LowSkill,General,1,Single,Portuguese
Married,1st phase—general contingent,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Student,Student,Yes,No,No,Yes,Male,No,34,No,0,6,6,6,13.666666666666666,0,0,6,6,6,13.666666666666666,0,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,Unemployed,Unemployed,General,1,Married,Portuguese
Single,1st phase—general contingent,1,Tourism,Daytime,Secondary education,Portuguese,Higher Education Degree,Secondary Education,Scientific Specialists,Legislative/Executive Officers,No,No,No,Yes,Male,No,20,No,0,6,6,3,10.0,0,0,6,6,5,10.8,0,15.5,2.8,-4.06,Enrolled,Secondary/Technical,Secondary/Technical,HigherEd,Management,Professional,ArmedForces,General,1,Single,Portuguese
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,Portuguese,Secondary Education,Basic Edu 2nd Cycle,Unskilled Workers,Legislative/Executive Officers,Yes,No,No,Yes,Male,No,22,No,0,6,6,5,12.6,0,0,6,6,6,11.714285714285714,0,12.4,0.5,1.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Agriculture,LowSkill,ArmedForces,Transfer/Other,1,Single,Portuguese
Single,Change in course,1,Informatics Engineering,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Service/Sales/Security,Skilled Industry Workers,No,No,No,Yes,Male,No,34,No,0,5,5,3,17.333333333333332,0,0,5,5,1,17.0,0,13.9,-0.3,0.79,Dropout,Basic,Secondary/Technical,Secondary/Technical,Engineering,LowSkill,Skilled,Transfer/Other,1,Single,Portuguese
Single,Technological specialization diploma holders,1,Veterinary Nursing,Daytime,Technological specialization course,Portuguese,Bachelor’s Degree,Bachelor’s Degree,Farmers/Ag Workers,Farmers/Ag Workers,No,No,No,No,Male,No,20,No,2,6,6,5,13.2,0,1,6,6,3,12.0,0,12.4,0.5,1.79,Enrolled,HigherEd,Secondary/Technical,HigherEd,Health,LowSkill,LowSkill,Transfer/Other,1,Single,Portuguese
Married,Over 23 years old,1,Management,Daytime,Basic education 3rd cycle,Portuguese,Administration & Commerce course,Basic Education 3rd Cycle,Unskilled Workers,Technicians & Professionals,No,No,No,Yes,Male,No,34,No,0,5,5,3,14.0,0,0,5,5,3,13.666666666666666,0,8.9,1.4,3.51,Dropout,Basic,Basic,Secondary/Technical,Management,LowSkill,Technical,Unknown,1,Married,Portuguese
Single,Holders of other higher courses,1,Oral Hygiene,Daytime,Higher education—master’s degree,Portuguese,Doctorate,Doctorate,Scientific Specialists,Scientific Specialists,Yes,No,No,Yes,Male,No,34,No,4,4,4,4,13.875,0,1,1,1,1,12.5,0,11.1,0.6,2.02,Dropout,Doctorate,HigherEd,Doctorate,Health,Professional,Professional,Transfer/Other,1,Single,Portuguese
Married,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,Yes,No,No,Yes,Male,No,32,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,Unknown,1,Married,Portuguese
Single,Over 23 years old,1,Social Service,Daytime,Other—11th year,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Male,No,34,No,3,9,9,9,13.11111111111111,0,3,7,7,7,14.857142857142858,0,10.8,1.4,1.74,Graduate,Basic,Secondary_Incomplete,Secondary/Technical,Social,LowSkill,LowSkill,Unknown,1,Single,Portuguese
Facto Union,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Male,Yes,34,No,0,5,5,5,13.0,0,0,5,3,4,13.333333333333334,2,16.2,0.3,-0.92,Dropout,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,Unknown,1,Facto Union,Portuguese
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,General commerce course,Secondary Education,Administrative Staff,Machine Operators,No,No,No,Yes,Male,No,34,No,6,10,10,10,12.5,0,3,7,7,7,12.142857142857142,0,10.8,1.4,1.74,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Social,Skilled,LowSkill,Unknown,1,Married,Portuguese
Married,Over 23 years old,1,Agronomy,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Farmers/Ag Workers,No,No,No,Yes,Male,No,34,No,17,18,18,18,14.11111111111111,0,11,13,13,13,14.23076923076923,0,15.5,2.8,-4.06,Graduate,Basic,Secondary/Technical,Secondary/Technical,Agriculture,LowSkill,LowSkill,Unknown,1,Married,Portuguese
Married,Over 23 years old,1,Tourism,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,No,No,No,Yes,Male,No,34,No,6,11,11,11,14.727272727272728,0,6,9,9,9,15.77777777777778,0,10.8,1.4,1.74,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,Unknown,1,Married,Portuguese
Single,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,Administration & Commerce course,7th Year (Old),Unskilled Workers,Skilled Industry Workers,No,No,Yes,No,Male,No,34,No,0,6,6,0,0.0,0,0,5,5,0,0.0,0,12.4,0.5,1.79,Dropout,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,Skilled,Unknown,1,Single,Portuguese
Married,Over 23 years old,1,Management (evening attendance),Evening,Basic education 3rd cycle,Portuguese,Accounting & Admin course,Basic Edu 2nd Cycle,Other Situation,Other Situation,Yes,No,No,Yes,Male,No,34,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,Basic,Basic,Secondary/Technical,Management,Unemployed,Unemployed,Unknown,1,Married,Portuguese
Single,Over 23 years old,1,Informatics Engineering,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Machine Operators,No,No,Yes,No,Male,No,34,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,Basic,Secondary/Technical,Secondary/Technical,Engineering,LowSkill,LowSkill,Unknown,1,Single,Portuguese
Married,Over 23 years old,1,Veterinary Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Other Situation,Other Situation,No,No,No,Yes,Male,No,33,No,0,5,5,4,13.5,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,Unemployed,Unemployed,Unknown,1,Married,Portuguese
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Higher Education Degree,Higher Education Degree,Scientific Specialists,Scientific Specialists,No,No,No,Yes,Male,No,18,No,0,8,8,7,13.105714285714283,0,0,8,8,7,13.105714285714283,0,10.8,1.4,1.74,Graduate,HigherEd,Secondary/Technical,HigherEd,Health,Professional,Professional,General,1,Single,Portuguese
Married,Over 23 years old,1,Veterinary Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Farmers/Ag Workers,Farmers/Ag Workers,No,No,No,Yes,Male,No,34,No,0,5,3,5,13.5,2,0,5,5,5,14.4,0,9.4,-0.8,-3.12,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,Unknown,1,Married,Portuguese
Single,Change in course,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,General commerce course,Basic Edu 1st Cycle,Administrative Staff,Armed Forces,No,No,No,Yes,Male,No,34,No,9,13,13,13,11.846153846153848,0,9,11,11,11,12.0,0,12.7,3.7,-1.7,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,Skilled,ArmedForces,Transfer/Other,1,Single,Portuguese
Single,Over 23 years old,1,Equiniculture,Daytime,12th year—not completed,Portuguese,2nd cycle general high school,Can read (no 4th year),Student,Other Situation,No,No,No,Yes,Male,No,29,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,Basic,Secondary_Incomplete,Secondary/Technical,Agriculture,Unemployed,Unemployed,Unknown,1,Single,Portuguese
