Marital Status,Application Mode,Application Order,Course Name,Daytime/Evening Attendance,Previous Qualification,Nationality,Mother's Qualification,Father's Qualification,Mother's Occupation,Father's Occupation,Displaced Student,Special Educational Needs,Is Debtor,Tuition Fees Up-to-Date,"Gender (1=Male, 0=Female)",Scholarship Holder,Age at Enrollment,International Student,Credited Units (1st Sem),Enrolled Units (1st Sem),Evaluated Units (1st Sem),Approved Units (1st Sem),Average Grade (1st Sem),Not Evaluated Units (1st Sem),Credited Units (2nd Sem),Enrolled Units (2nd Sem),Evaluated Units (2nd Sem),Approved Units (2nd Sem),Average Grade (2nd Sem),Not Evaluated Units (2nd Sem),Unemployment Rate (%),Inflation Rate (%),GDP per Capita (USD),Student Status,FatherQual,PrevQual,MotherQual,Course_Field,MotherOcc_Simple,FatherOcc_Simple,ApplicationMode_Simple,ApplicationOrder_Simple,MaritalStatus_Simple,Nationality_Simple,Pass Rate (1st Sem),Pass Rate (2nd Sem),Total Approved Units,Total Enrolled Units,Total Evaluated Units,Grade Difference,Load Category,Debt Risk,Tuition Stable,Socioeconomic Stress Score,Financial Hardship,Econ_Disadvantage
Single,Over 23 years old,1,Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,0,1,0,Female,0,32,No,0,7,7,4,13.7,0,0,7,7,0,0.0,0,16.2,0.3,-0.92,Dropout,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,Unknown,1,Single,Portuguese,0.5714285714285714,0.0,4,14,14,-13.7,Low Load,0,0,16.5,-0.3260869565217391,2
Single,Over 23 years old,1,Social Service (evening attendance),Evening,Higher education—degree (1st cycle),Portuguese,General commerce course,Basic Edu 1st Cycle,Service/Sales/Security,Unskilled Workers,No,0,0,1,Female,0,34,No,7,11,11,11,13.727272727272728,0,4,8,8,8,14.75,0,12.4,0.5,1.79,Graduate,Basic,HigherEd,Secondary/Technical,Social,LowSkill,LowSkill,Unknown,1,Single,Portuguese,1.0,1.0,19,19,19,1.0227272727272716,Low Load,0,0,12.9,0.27932960893854747,0
Married,Over 23 years old,2,Management,Daytime,Higher education—degree,Portuguese,Higher Education Degree,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,0,30,No,4,7,7,7,11.75,0,3,8,8,7,11.142857142857142,0,12.7,3.7,-1.7,Dropout,Basic,HigherEd,HigherEd,Management,LowSkill,LowSkill,Unknown,2,Married,Portuguese,1.0,0.875,14,15,15,-0.6071428571428577,Low Load,0,0,16.4,-2.1764705882352944,0
Single,Change in course,2,Journalism and Communication,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Student,Student,No,0,0,1,Male,0,23,No,0,6,6,6,12.333333333333334,0,0,6,6,5,13.0,0,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Secondary/Technical,Communication,Unemployed,Unemployed,Transfer/Other,2,Single,Portuguese,1.0,0.8333333333333334,11,12,12,0.6666666666666661,Low Load,0,0,10.2,8.125,0
Single,2nd phase—general contingent,2,Journalism and Communication,Daytime,Secondary education,Portuguese,Higher Education Degree,Secondary Education,Scientific Specialists,Skilled Industry Workers,Yes,0,0,1,Female,1,20,No,0,6,6,6,14.0,0,0,6,6,6,13.857142857142858,0,15.5,2.8,-4.06,Dropout,Secondary/Technical,Secondary/Technical,HigherEd,Communication,Professional,Skilled,General,2,Single,Portuguese,1.0,1.0,12,12,12,-0.14285714285714235,Low Load,0,0,18.3,-0.6896551724137931,1
Single,1st phase—general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 1st Cycle,Service/Sales/Security,Skilled Industry Workers,No,0,0,1,Male,0,21,No,0,5,5,4,11.5,0,0,5,5,4,11.75,0,9.4,-0.8,-3.12,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,Skilled,General,1,Single,Portuguese,0.8,0.8,8,10,10,0.25,Low Load,0,0,8.6,0.25641025641025644,0
Single,1st phase—general contingent,1,Management,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Education 3rd Cycle,Service/Sales/Security,Skilled Industry Workers,No,0,0,1,Male,0,19,No,0,5,5,5,11.2,0,0,5,5,5,13.2,0,12.4,0.5,1.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,Skilled,General,1,Single,Portuguese,1.0,1.0,10,10,10,2.0,Low Load,0,0,12.9,0.27932960893854747,0
Single,2nd phase—general contingent,4,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Administrative Staff,Technicians & Professionals,Yes,0,0,1,Male,1,18,No,0,8,8,7,15.07,0,0,8,8,7,15.07,0,10.8,1.4,1.74,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,Skilled,Technical,General,4,Single,Portuguese,0.875,0.875,14,16,16,0.0,Low Load,0,0,12.200000000000001,0.8045977011494252,1
Single,Transfer,1,Informatics Engineering,Daytime,Secondary education,Portuguese,2nd cycle general high school,Unknown,Student,Student,No,0,0,1,Male,0,18,No,0,5,5,1,10.0,0,0,5,5,1,12.0,0,10.8,1.4,1.74,Dropout,Unknown,Secondary/Technical,Secondary/Technical,Engineering,Unemployed,Unemployed,Transfer/Other,1,Single,Portuguese,0.2,0.2,2,10,10,2.0,Low Load,0,0,12.200000000000001,0.8045977011494252,0
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Armed Forces,No,0,0,1,Male,0,24,No,0,5,5,4,12.0,0,0,5,5,5,12.666666666666666,0,12.4,0.5,1.79,Enrolled,Secondary/Technical,Secondary/Technical,Secondary/Technical,Management,Skilled,ArmedForces,Unknown,1,Single,Portuguese,0.8,1.0,9,10,10,0.6666666666666661,Low Load,0,0,12.9,0.27932960893854747,0
Single,3rd phase—general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,Yes,0,0,1,Male,0,22,No,0,6,6,4,13.0,0,0,6,6,4,12.6,0,12.7,3.7,-1.7,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,General,1,Single,Portuguese,0.6666666666666666,0.6666666666666666,8,12,12,-0.40000000000000036,Low Load,0,0,16.4,-2.1764705882352944,0
Single,2nd phase—general contingent,4,Tourism,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education,Service/Sales/Security,Service/Sales/Security,Yes,0,0,1,Male,0,18,No,0,6,6,4,11.0,0,0,6,6,3,11.25,0,16.2,0.3,-0.92,Dropout,Secondary/Technical,Secondary/Technical,Secondary/Technical,Management,LowSkill,LowSkill,General,4,Single,Portuguese,0.6666666666666666,0.5,7,12,12,0.25,Low Load,0,0,16.5,-0.3260869565217391,0
Single,1st phase—special contingent (Madeira Island),2,Social Service,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Service/Sales/Security,Farmers/Ag Workers,Yes,0,0,1,Female,0,18,No,0,6,6,6,13.571428571428571,0,0,6,6,5,12.166666666666666,0,9.4,-0.8,-3.12,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,SpecialRegional,2,Single,Portuguese,1.0,0.8333333333333334,11,12,12,-1.404761904761905,Low Load,0,0,8.6,0.25641025641025644,0
Single,1st phase—general contingent,2,Communication Design,Daytime,Secondary education,Mexican,Bachelor’s Degree,Secondary Education,Unskilled Workers,Legislative/Executive Officers,Yes,0,0,1,Male,0,21,Yes,0,6,6,5,14.6,0,0,6,6,5,14.2,0,16.2,0.3,-0.92,Graduate,Secondary/Technical,Secondary/Technical,HigherEd,Communication,LowSkill,ArmedForces,General,2,Single,SouthAmerica,0.8333333333333334,0.8333333333333334,10,12,12,-0.40000000000000036,Low Load,0,0,16.5,-0.3260869565217391,0
Divorced,Over 23 years old,1,Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,0,1,1,Female,0,34,No,0,7,7,3,11.833333333333334,0,0,7,7,2,10.0,0,16.2,0.3,-0.92,Dropout,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,Unknown,1,Separated/Divorced,Portuguese,0.42857142857142855,0.2857142857142857,5,14,14,-1.833333333333334,Low Load,0,0,16.5,-0.3260869565217391,1
Single,3rd phase—general contingent,1,Oral Hygiene,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,1,19,No,0,7,7,7,12.625,0,0,8,8,8,12.5125,0,12.7,3.7,-1.7,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,General,1,Single,Portuguese,1.0,1.0,15,15,15,-0.11250000000000071,Low Load,0,0,16.4,-2.1764705882352944,1
Legally Separated,Over 23 years old,1,Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,0,34,No,0,7,7,4,11.5,0,0,7,7,3,12.333333333333334,0,16.2,0.3,-0.92,Dropout,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,Unknown,1,Separated/Divorced,Portuguese,0.5714285714285714,0.42857142857142855,7,14,14,0.8333333333333339,Low Load,0,0,16.5,-0.3260869565217391,0
Single,1st phase—special contingent (Madeira Island),1,Veterinary Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Unskilled Workers,Unskilled Workers,Yes,0,0,1,Female,0,18,No,0,5,4,4,13.25,1,0,5,5,4,10.5,0,12.7,3.7,-1.7,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,SpecialRegional,1,Single,Portuguese,0.8,0.8,8,10,9,-2.75,Low Load,0,0,16.4,-2.1764705882352944,0
Single,1st phase—general contingent,3,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Service/Sales/Security,Service/Sales/Security,Yes,0,0,1,Female,0,19,No,0,7,7,7,12.60625,0,0,8,8,6,11.9,0,12.4,0.5,1.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,General,3,Single,Portuguese,1.0,0.75,13,15,15,-0.7062499999999989,Low Load,0,0,12.9,0.27932960893854747,0
Single,Short cycle diploma holders,1,Veterinary Nursing,Daytime,Professional higher technical course,Portuguese,General commerce course,Basic Edu 2nd Cycle,Unskilled Workers,Unskilled Workers,No,0,1,0,Female,0,21,No,7,10,10,8,13.75,0,4,9,9,5,13.2,0,8.9,1.4,3.51,Dropout,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,Transfer/Other,1,Single,Portuguese,0.8,0.5555555555555556,13,19,19,-0.5500000000000007,Low Load,0,0,10.3,0.39886039886039887,2
Single,1st phase—general contingent,2,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 2nd Cycle,Personal Service Workers,Unskilled Ag Workers,Yes,0,0,1,Female,0,19,No,0,7,7,6,13.598333333333334,0,0,8,8,6,11.933333333333332,0,11.1,0.6,2.02,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,General,2,Single,Portuguese,0.8571428571428571,0.75,12,15,15,-1.6650000000000027,Low Load,0,0,11.7,0.297029702970297,0
Single,1st phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,1,18,No,0,6,6,5,11.142857142857142,0,0,6,6,6,12.285714285714286,0,16.2,0.3,-0.92,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,1,Single,Portuguese,0.8333333333333334,1.0,11,12,12,1.1428571428571441,Low Load,0,0,16.5,-0.3260869565217391,1
Married,Holders of other higher courses,1,Nursing,Daytime,Higher education—degree,Portuguese,Administration & Commerce course,Basic Education 3rd Cycle,Unskilled Workers,Skilled Industry Workers,Yes,0,0,1,Female,0,34,No,7,11,11,11,12.7,0,6,10,10,10,12.96818181818182,0,13.9,-0.3,0.79,Enrolled,Basic,HigherEd,Secondary/Technical,Health,LowSkill,Skilled,Transfer/Other,1,Married,Portuguese,1.0,1.0,21,21,21,0.2681818181818212,Medium Load,0,0,13.6,-0.37974683544303794,0
Single,2nd phase—general contingent,1,Management,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Skilled Industry Workers,Yes,0,0,1,Female,0,20,No,0,5,5,1,10.0,0,0,5,5,1,11.0,0,7.6,2.6,0.32,Dropout,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,Skilled,General,1,Single,Portuguese,0.2,0.2,2,10,10,1.0,Low Load,0,0,10.2,8.125,0
Single,2nd phase—general contingent,1,Tourism,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education,Service/Sales/Security,Skilled Industry Workers,Yes,0,1,1,Female,0,18,No,0,6,6,6,11.666666666666666,0,0,6,6,4,11.5,0,13.9,-0.3,0.79,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Management,LowSkill,Skilled,General,1,Single,Portuguese,1.0,0.6666666666666666,10,12,12,-0.16666666666666607,Low Load,0,0,13.6,-0.37974683544303794,1
Single,1st phase—general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Administrative Staff,Administrative Staff,No,0,0,1,Female,1,18,No,0,6,6,6,14.0,0,0,6,6,6,13.142857142857142,0,11.1,0.6,2.02,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,Skilled,Skilled,General,1,Single,Portuguese,1.0,1.0,12,12,12,-0.8571428571428577,Low Load,0,0,11.7,0.297029702970297,1
Single,Holders of other higher courses,2,Equiniculture,Daytime,Higher education—degree,Portuguese,2nd cycle general high school,Unknown,Student,Student,No,0,0,1,Female,0,25,No,0,5,1,0,0.0,4,0,5,2,0,0.0,3,10.8,1.4,1.74,Dropout,Unknown,HigherEd,Secondary/Technical,Agriculture,Unemployed,Unemployed,Transfer/Other,2,Single,Portuguese,0.0,0.0,0,10,3,0.0,Low Load,0,0,12.200000000000001,0.8045977011494252,0
Single,1st phase—general contingent,6,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Administrative Staff,Administrative Staff,Yes,0,0,1,Female,0,19,No,0,8,8,7,12.04142857142857,0,0,8,8,7,12.04142857142857,0,10.8,1.4,1.74,Graduate,Secondary/Technical,Secondary/Technical,Secondary/Technical,Health,Skilled,Skilled,General,6,Single,Portuguese,0.875,0.875,14,16,16,0.0,Low Load,0,0,12.200000000000001,0.8045977011494252,0
Single,1st phase—general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Skilled Industry Workers,Skilled Industry Workers,Yes,0,0,1,Female,1,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Arts,Skilled,Skilled,General,1,Single,Portuguese,0.0,0.0,0,0,0,0.0,Low Load,0,0,13.6,-0.37974683544303794,1
Single,Holders of other higher courses,1,Tourism,Daytime,Higher education—degree (1st cycle),Portuguese,Secondary Education,Secondary Education,Technicians & Professionals,Farmers/Ag Workers,No,0,0,1,Female,0,34,No,12,13,13,13,13.76923076923077,0,9,12,12,12,14.583333333333334,0,13.9,-0.3,0.79,Graduate,Secondary/Technical,HigherEd,Secondary/Technical,Management,Technical,LowSkill,Transfer/Other,1,Single,Portuguese,1.0,1.0,25,25,25,0.8141025641025639,Medium Load,0,0,13.6,-0.37974683544303794,0
Married,Over 23 years old,1,Agronomy,Daytime,Secondary education,Portuguese,Accounting & Admin course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,0,29,No,13,18,18,18,15.444444444444445,0,11,13,13,13,15.307692307692308,0,15.5,2.8,-4.06,Graduate,Basic,Secondary/Technical,Secondary/Technical,Agriculture,LowSkill,LowSkill,Unknown,1,Married,Portuguese,1.0,1.0,31,31,31,-0.13675213675213627,Medium Load,0,0,18.3,-0.6896551724137931,0
Single,2nd phase—general contingent,1,Basic Education,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Administrative Staff,Skilled Industry Workers,Yes,0,0,1,Female,0,18,No,0,7,7,6,11.5,0,0,7,7,7,12.714285714285714,0,13.9,-0.3,0.79,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Education,Skilled,Skilled,General,1,Single,Portuguese,0.8571428571428571,1.0,13,14,14,1.2142857142857135,Low Load,0,0,13.6,-0.37974683544303794,0
Single,Holders of other higher courses,1,Communication Design,Daytime,Higher education—degree,Portuguese,Administration & Commerce course,Bachelor’s Degree,Unskilled Workers,Technicians & Professionals,No,0,0,0,Female,0,23,No,0,3,3,2,10.0,0,0,6,6,0,0.0,0,10.8,1.4,1.74,Dropout,HigherEd,HigherEd,Secondary/Technical,Communication,LowSkill,Technical,Transfer/Other,1,Single,Portuguese,0.6666666666666666,0.0,2,9,9,-10.0,Low Load,0,0,12.200000000000001,0.8045977011494252,1
Single,Transfer,1,Basic Education,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 1st Cycle,Service/Sales/Security,Service/Sales/Security,Yes,0,0,1,Female,0,21,No,0,6,6,4,12.25,0,0,6,6,3,10.333333333333334,0,12.7,3.7,-1.7,Dropout,Basic,Secondary/Technical,Secondary/Technical,Education,LowSkill,LowSkill,Transfer/Other,1,Single,Portuguese,0.6666666666666666,0.5,7,12,12,-1.916666666666666,Low Load,0,0,16.4,-2.1764705882352944,0
Single,1st phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Administrative Staff,Administrative Staff,No,0,0,0,Female,0,18,No,0,6,6,6,14.5,0,0,6,6,6,15.166666666666666,0,10.8,1.4,1.74,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,Skilled,Skilled,General,1,Single,Portuguese,1.0,1.0,12,12,12,0.6666666666666661,Low Load,0,0,12.200000000000001,0.8045977011494252,1
Single,Holders of other higher courses,1,Veterinary Nursing,Daytime,Higher education—degree (1st cycle),Portuguese,Secondary Education,Basic Education 3rd Cycle,Service/Sales/Security,Service/Sales/Security,Yes,0,0,1,Female,0,23,No,0,6,6,6,15.571428571428571,0,0,6,6,6,16.375,0,12.4,0.5,1.79,Graduate,Basic,HigherEd,Secondary/Technical,Health,LowSkill,LowSkill,Transfer/Other,1,Single,Portuguese,1.0,1.0,12,12,12,0.8035714285714288,Low Load,0,0,12.9,0.27932960893854747,0
Single,1st phase—general contingent,1,Equiniculture,Daytime,Secondary education,Portuguese,Secondary Education,Basic Education 3rd Cycle,Administrative Staff,Administrative Staff,No,0,0,1,Female,0,18,No,0,6,6,6,15.571428571428571,0,0,6,6,6,14.714285714285714,0,11.1,0.6,2.02,Graduate,Basic,Secondary/Technical,Secondary/Technical,Agriculture,Skilled,Skilled,General,1,Single,Portuguese,1.0,1.0,12,12,12,-0.8571428571428577,Low Load,0,0,11.7,0.297029702970297,0
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Basic education 3rd cycle,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Administrative Staff,Machine Operators,No,0,0,1,Female,0,32,No,0,6,6,5,13.8,0,0,6,6,6,12.166666666666666,0,9.4,-0.8,-3.12,Graduate,Basic,Basic,Secondary/Technical,Social,Skilled,LowSkill,Unknown,1,Married,Portuguese,0.8333333333333334,1.0,11,12,12,-1.6333333333333346,Low Load,0,0,8.6,0.25641025641025644,0
Married,Over 23 years old,2,Management,Daytime,Secondary education,Portuguese,General commerce course,Basic Edu 1st Cycle,Unskilled Workers,Skilled Industry Workers,No,0,1,0,Female,0,29,No,0,5,5,3,10.666666666666666,0,0,5,5,2,14.8,0,10.8,1.4,1.74,Dropout,Basic,Secondary/Technical,Secondary/Technical,Management,LowSkill,Skilled,Unknown,2,Married,Portuguese,0.6,0.4,5,10,10,4.133333333333335,Low Load,0,0,12.200000000000001,0.8045977011494252,2
Single,1st phase—general contingent,6,Social Service,Daytime,Secondary education,Portuguese,Secondary Education,Basic Edu 2nd Cycle,Care Workers,Subsistence Farmers,Yes,0,1,1,Female,1,20,No,0,6,6,5,11.6,0,0,6,6,4,11.75,0,8.9,1.4,3.51,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,6,Single,Portuguese,0.8333333333333334,0.6666666666666666,9,12,12,0.15000000000000036,Low Load,0,0,10.3,0.39886039886039887,2
Single,Over 23 years old,1,Social Service,Daytime,Secondary education,Portuguese,2nd cycle general high school,Unknown,Student,Student,Yes,0,0,0,Female,0,28,No,0,6,6,1,13.0,0,0,6,6,0,0.0,0,9.4,-0.8,-3.12,Dropout,Unknown,Secondary/Technical,Secondary/Technical,Social,Unemployed,Unemployed,Unknown,1,Single,Portuguese,0.16666666666666666,0.0,1,12,12,-13.0,Low Load,0,0,8.6,0.25641025641025644,1
Single,Holders of other higher courses,1,Management,Daytime,Higher education—degree,Portuguese,Accounting & Admin course,Basic Edu 2nd Cycle,Legislative/Executive Officers,Unskilled Workers,No,0,0,1,Female,0,27,No,0,5,5,3,12.0,0,0,5,5,4,13.625,0,10.8,1.4,1.74,Graduate,Basic,HigherEd,Secondary/Technical,Management,ArmedForces,LowSkill,Transfer/Other,1,Single,Portuguese,0.6,0.8,7,10,10,1.625,Low Load,0,0,12.200000000000001,0.8045977011494252,0
Single,Change in course,2,Nursing,Daytime,Secondary education,Portuguese,Administration & Commerce course,Unknown,Other Situation,Student,No,0,1,1,Female,0,22,No,11,14,12,12,12.333333333333334,2,11,14,12,12,12.333333333333334,2,7.6,2.6,0.32,Graduate,Unknown,Secondary/Technical,Secondary/Technical,Health,Unemployed,Unemployed,Transfer/Other,2,Single,Portuguese,0.8571428571428571,0.8571428571428571,24,28,24,0.0,Medium Load,0,0,10.2,8.125,1
Married,Over 23 years old,1,Agronomy,Daytime,Basic education 3rd cycle,Portuguese,General commerce course,Basic Edu 1st Cycle,Unskilled Workers,Armed Forces,No,0,1,1,Female,0,34,No,0,6,6,6,12.875,0,0,6,6,6,12.9,0,16.2,0.3,-0.92,Enrolled,Basic,Basic,Secondary/Technical,Agriculture,LowSkill,ArmedForces,Unknown,1,Married,Portuguese,1.0,1.0,12,12,12,0.025000000000000355,Low Load,0,0,16.5,-0.3260869565217391,1
Single,Holders of other higher courses,1,Social Service (evening attendance),Evening,Higher education—degree,Portuguese,Administration & Commerce course,Basic Edu 2nd Cycle,Student,Service/Sales/Security,No,0,0,0,Female,0,28,No,0,6,6,1,11.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Dropout,Basic,HigherEd,Secondary/Technical,Social,Unemployed,LowSkill,Transfer/Other,1,Single,Portuguese,0.16666666666666666,0.0,1,12,12,-11.0,Low Load,0,0,16.4,-2.1764705882352944,1
Married,Over 23 years old,1,Agronomy,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,No,0,1,0,Female,0,34,No,0,6,6,4,12.25,0,0,6,6,4,10.5,0,8.9,1.4,3.51,Dropout,Basic,Secondary/Technical,Secondary/Technical,Agriculture,LowSkill,LowSkill,Unknown,1,Married,Portuguese,0.6666666666666666,0.6666666666666666,8,12,12,-1.75,Low Load,0,0,10.3,0.39886039886039887,2
Single,Change in course,1,Oral Hygiene,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Unskilled Workers,Unskilled Workers,Yes,0,0,0,Female,0,32,No,0,7,0,0,0.0,7,0,8,1,0,0.0,7,10.8,1.4,1.74,Dropout,Basic,Secondary/Technical,Secondary/Technical,Health,LowSkill,LowSkill,Transfer/Other,1,Single,Portuguese,0.0,0.0,0,15,1,0.0,Low Load,0,0,12.200000000000001,0.8045977011494252,1
Single,2nd phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Unskilled Workers,Unskilled Workers,No,0,0,1,Female,1,20,No,0,6,6,4,10.75,0,0,6,6,5,11.5,0,15.5,2.8,-4.06,Enrolled,Secondary/Technical,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,1,Single,Portuguese,0.6666666666666666,0.8333333333333334,9,12,12,0.75,Low Load,0,0,18.3,-0.6896551724137931,1
Divorced,Over 23 years old,1,Nursing,Daytime,Basic education 3rd cycle,Portuguese,Accounting & Admin course,Secondary Education,Unskilled Workers,Administrative Staff,No,0,0,1,Female,1,34,No,0,8,7,8,13.63,1,0,8,7,8,13.63,1,9.4,-0.8,-3.12,Graduate,Secondary/Technical,Basic,Secondary/Technical,Health,LowSkill,Skilled,Unknown,1,Separated/Divorced,Portuguese,1.0,1.0,16,16,14,0.0,Low Load,0,0,8.6,0.25641025641025644,1
Single,1st phase—general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Administration & Commerce course,Basic Edu 1st Cycle,Student,Student,Yes,0,0,1,Female,0,21,No,0,5,5,3,13.0,0,0,5,4,4,11.5,1,7.6,2.6,0.32,Graduate,Basic,Secondary/Technical,Secondary/Technical,Management,Unemployed,Unemployed,General,1,Single,Portuguese,0.6,0.8,7,10,9,-1.5,Low Load,0,0,10.2,8.125,0
Single,1st phase—general contingent,4,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Skilled Industry Workers,Unskilled Workers,Yes,0,0,1,Female,1,18,No,0,7,7,6,13.533333333333331,0,0,7,7,7,12.228571428571428,0,12.4,0.5,1.79,Enrolled,Basic,Secondary/Technical,Secondary/Technical,Health,Skilled,LowSkill,General,4,Single,Portuguese,0.8571428571428571,1.0,13,14,14,-1.3047619047619037,Low Load,0,0,12.9,0.27932960893854747,1
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Higher Education Degree,Basic Edu 2nd Cycle,Technicians & Professionals,Skilled Industry Workers,No,0,0,1,Female,1,18,No,0,7,7,7,16.9,0,0,8,8,8,16.37777777777778,0,16.2,0.3,-0.92,Graduate,Basic,Secondary/Technical,HigherEd,Health,Technical,Skilled,General,1,Single,Portuguese,1.0,1.0,15,15,15,-0.5222222222222186,Low Load,0,0,16.5,-0.3260869565217391,1
Single,2nd phase—general contingent,4,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle,Service/Sales/Security,Machine Operators,Yes,0,0,1,Female,0,18,No,0,6,6,5,12.0,0,0,6,6,4,12.0,0,16.2,0.3,-0.92,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,LowSkill,LowSkill,General,4,Single,Portuguese,0.8333333333333334,0.6666666666666666,9,12,12,0.0,Low Load,0,0,16.5,-0.3260869565217391,0
Single,Technological specialization diploma holders,1,Social Service (evening attendance),Evening,Technological specialization course,Portuguese,General commerce course,Basic Edu 1st Cycle,Skilled Industry Workers,Farmers/Ag Workers,Yes,0,0,1,Female,0,22,No,3,6,6,6,12.5,0,2,6,6,6,13.285714285714286,0,12.4,0.5,1.79,Graduate,Basic,Secondary/Technical,Secondary/Technical,Social,Skilled,LowSkill,Transfer/Other,1,Single,Portuguese,1.0,1.0,12,12,12,0.7857142857142865,Low Load,0,0,12.9,0.27932960893854747,0
